,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,name
225,Carney,Chukwuemeka,1,0,6,125,2,25.1,34.8,39,0,23,9.9,0,0,2,1.4,44,MID,Carney Chukwuemeka
228,Enzo,Fernandez,0,0,5,360,5,193.3,65.6,61,0,42,31.7,1,0,2,4.1,50,MID,Enzo Fernández
231,Conor,Gallagher,0,0,8,315,4,48.1,59,32,0,54,13.9,1,0,1,0.4,55,MID,Conor Gallagher
235,Noni,Madueke,0,0,2,43,1,10.4,7.2,26,0,4,4.3,0,0,0,0.1,54,MID,Noni Madueke
236,Mykhailo,Mudryk,0,0,3,67,2,40.2,11.2,24,0,15,7.6,0,0,0,0.9,64,MID,Mykhailo Mudryk
239,Christian,Pulisic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,MID,Christian Pulisic
242,Raheem,Sterling,2,1,25,350,5,109.7,103.6,167,3,82,38.1,1,0,0,16.4,72,MID,Raheem Sterling
244,Hakim,Ziyech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,54,MID,Hakim Ziyech
245,Cole,Palmer,0,0,2,38,0,18,6,4,0,8,2.7,0,0,0,0.2,49,MID,Cole Palmer
246,Ângelo Gabriel,Borges Damaceno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,MID,Ângelo Gabriel Borges Damaceno
247,Ian,Maatsen,0,0,2,26,0,16.4,7.6,4,0,5,2.8,0,0,1,0.1,53,MID,Ian Maatsen
249,Lesley,Ugochukwu,0,0,2,8,0,0.7,6.6,2,0,7,0.9,0,0,0,0.1,44,MID,Lesley Ugochukwu
252,Romeo,Lavia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,MID,Roméo Lavia
256,Diego Manuel Jadon,da Silva Moreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Diego Manuel Jadon da Silva Moreira
259,Naouirou,Ahamada,0,0,2,35,0,3.3,4.8,0,0,9,0.8,0,0,0,0.2,44,MID,Naouirou Ahamada
261,Jordan,Ayew,0,2,14,360,4,94.7,74.6,132,0,34,30.2,1,0,1,0.5,55,MID,Jordan Ayew
263,Cheick,Doucoure,0,0,8,360,4,44.8,60.8,17,0,58,12.4,1,0,1,0.1,50,MID,Cheick Doucouré
264,Malcolm,Ebiowei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Malcolm Ebiowei
266,Eberechi,Eze,1,0,15,360,4,192.7,101.6,128,1,75,42.3,1,0,0,9.9,63,MID,Eberechi Eze
